model,model_short,pdf,bloom_level,bloom_short,source_chapter,section_info,bleu1_ans_chapter,bleu2_ans_chapter,bleu4_ans_chapter,best_bleu_chapter,best_bleu_score,is_correct,bleu4_ans_section,bleu4_q_chapter,answer_words,question_words,chapter_words,section_words,process_time_s,total_points,question,answer
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,Giao_Trinh_AI_Full_Length,Bloom 1 (Nhớ),B1,Chương 1,Chương 1 - Mục Chương 1: Tổng quan về Trí tuệ Nhân tạo,0.1066,0.1018,0.0963,Chương 1,0.0963,TRUE,0.2546,0,71,23,20026,20026,2.69,1,Cho biết các phương pháp phân tích được đề cập trong việc áp dụng Lịch sử AI và các giai đoạn phát triển.,- Phân tích định tính: Đánh giá sự ảnh hưởng đến trải nghiệm người dùng cuối. | - Phân tích định lượng: Đo lường thông qua các chỉ số KPI kỹ thuật cụ thể. | - Khả năng mở rộng: Xem xét cách thức hệ thống phản ứng với khối lượng công việc tăng dần. | - Tiếp cận đa chiều: Từ lớp hạ tầng cơ sở đến lớp ứng dụng logic cấp cao.
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,Giao_Trinh_AI_Full_Length,Bloom 1 (Nhớ),B1,Chương 2,Chương 2 - Mục Chương 2: Machine Learning,0.1077,0.1055,0.101,Chương 1,0.101,FALSE,0.2344,0.0001,76,24,18871,18871,2.42,1,Cho biết các khía cạnh cần xem xét khi triển khai Supervised Learning và các thuật toán hồi quy trong bối cảnh thực tế.,- Phân tích định tính: Đánh giá sự ảnh hưởng đến trải nghiệm người dùng cuối. | - Phân tích định lượng: Đo lường thông qua các chỉ số KPI kỹ thuật cụ thể. | - Khả năng mở rộng: Xem xét cách thức hệ thống phản ứng với khối lượng công việc tăng dần. | - Sự hiểu biết: Đòi hỏi sự hiểu biết về các cấu trúc dữ liệu phức tạp và các thuật toán tối ưu.
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,Giao_Trinh_AI_Full_Length,Bloom 2 (Hiểu),B2,Chương 3,Chương 3 - Mục Chương 3: Deep Learning,0.3567,0.3181,0.2659,Chương 3,0.2659,TRUE,0.2811,0.0009,178,33,18674,18674,2.5,1.5,Giải thích tại sao việc áp dụng Cấu trúc Perceptron và Lan truyền ngược đòi hỏi sự hiểu biết về các cấu trúc dữ liệu phức tạp và các thuật toán tối ưu.,"- Lý thuyết cốt lõi: Cấu trúc Perceptron và Lan truyền ngược không chỉ đơn thuần là một kỹ thuật mà còn là một hệ tư tưởng trong thiết kế hệ thống. | - Yêu cầu kiến thức: Việc áp dụng Cấu trúc Perceptron và Lan truyền ngược đòi hỏi sự hiểu biết về các cấu trúc dữ liệu phức tạp. | - Yêu cầu thuật toán: Việc áp dụng Cấu trúc Perceptron và Lan truyền ngược đòi hỏi sự hiểu biết về các thuật toán tối ưu. | - Thách thức thực tế: Các kỹ sư thường gặp phải những thách thức liên quan đến hiệu năng khi triển khai Cấu trúc Perceptron và Lan truyền ngược. | - Thách thức thực tế: Các kỹ sư thường gặp phải những thách thức liên quan đến tính bảo mật khi triển khai Cấu trúc Perceptron và Lan truyền ngược. | - Tiếp cận đa chiều: Cấu trúc Perceptron và Lan truyền ngược yêu cầu một sự tiếp cận đa chiều, từ lớp hạ tầng cơ sở đến lớp ứng dụng logic cấp cao."
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,Giao_Trinh_AI_Full_Length,Bloom 2 (Hiểu),B2,Chương 4,Chương 4 - Mục Chương 4: Xửlý ngôn ngữtự nhiên (NLP),0.354,0.3151,0.2691,Chương 4,0.2691,TRUE,0.3083,0.0061,177,36,18399,18399,2.49,1.5,Giải thích vai trò then chốt của Tiền xử lý văn bản tiếng Việt trong sự phát triển của ngành công nghệ thông tin hiện đại và những đòi hỏi khi áp dụng kỹ thuật này.,"- Vai trò then chốt: Tiền xử lý văn bản tiếng Việt đóng vai trò then chốt trong sự phát triển của ngành công nghệ thông tin hiện đại. | - Hệ tư tưởng: Về mặt lý thuyết, Tiền xử lý văn bản tiếng Việt không chỉ đơn thuần là một kỹ thuật mà còn là một hệ tư tưởng trong thiết kế hệ thống. | - Đòi hỏi hiểu biết: Việc áp dụng Tiền xử lý văn bản tiếng Việt đòi hỏi sự hiểu biết về các cấu trúc dữ liệu phức tạp. | - Đòi hỏi thuật toán: Việc áp dụng Tiền xử lý văn bản tiếng Việt đòi hỏi sự hiểu biết về các thuật toán tối ưu. | - Thách thức thực tế: Trong bối cảnh thực tế, các kỹ sư thường gặp phải những thách thức liên quan đến hiệu năng. | - Thách thức bảo mật: Trong bối cảnh thực tế, các kỹ sư thường gặp phải những thách thức liên quan đến tính bảo mật khi triển khai Tiền xử lý văn bản tiếng Việt."
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,Giao_Trinh_AI_Full_Length,Bloom 3 (Vận dụng),B3,Chương 5,Chương 5 - Mục Chương 5: Thị giác máy tính,0.4861,0.4271,0.3516,Chương 5,0.3516,TRUE,0.3068,0.0016,192,35,18422,18422,2.83,2,"Vận dụng hiểu biết về Object Detection với YOLO, hãy phân tích những thách thức mà các kỹ sư thường gặp phải khi triển khai và các phương pháp đánh giá hiệu quả hệ thống.","- Thách thức hiệu năng: Các kỹ sư thường gặp phải những thách thức liên quan đến hiệu năng khi triển khai Object Detection với YOLO. | - Thách thức bảo mật: Các kỹ sư thường gặp phải những thách thức liên quan đến tính bảo mật khi triển khai Object Detection với YOLO. | - Phân tích định tính: Đánh giá sự ảnh hưởng đến trải nghiệm người dùng cuối. | - Phân tích định lượng: Đo lường thông qua các chỉ số KPI kỹ thuật cụ thể. | - Khả năng mở rộng: Xem xét cách thức hệ thống phản ứng với khối lượng công việc tăng dần. | - Yêu cầu hiểu biết cấu trúc dữ liệu: Việc áp dụng Object Detection với YOLO đòi hỏi sự hiểu biết về các cấu trúc dữ liệu phức tạp. | - Yêu cầu hiểu biết thuật toán tối ưu: Việc áp dụng Object Detection với YOLO đòi hỏi sự hiểu biết về các thuật toán tối ưu. | - Tiếp cận đa chiều: Object Detection với YOLO yêu cầu một sự tiếp cận đa chiều, từ lớp hạ tầng cơ sở đến lớp ứng dụng logic cấp cao."
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,Giao_Trinh_AI_Full_Length,Bloom 3 (Vận dụng),B3,Chương 6,Chương 6 - Mục Chương 6: Hệ thống Multi-Agent,0.5416,0.4827,0.4065,Chương 6,0.4065,TRUE,0.3023,0.0011,233,34,19038,19038,2.48,2,"Vận dụng kiến thức về Tác tử thông minh và môi trường, hãy phân tích những thách thức kỹ sư thường gặp phải trong bối cảnh thực tế khi triển khai hệ thống này.",- Thách thức về hiệu năng: Các kỹ sư thường gặp phải những thách thức liên quan đến hiệu năng khi triển khai Tác tử thông minh và môi trường. | - Thách thức về tính bảo mật: Các kỹ sư thường gặp phải những thách thức liên quan đến tính bảo mật khi triển khai Tác tử thông minh và môi trường. | - Phân tích định tính: Đánh giá sự ảnh hưởng đến trải nghiệm người dùng cuối là một phương pháp phân tích. | - Phân tích định lượng: Đo lường thông qua các chỉ số KPI kỹ thuật cụ thể là một phương pháp phân tích. | - Khả năng mở rộng: Xem xét cách thức hệ thống phản ứng với khối lượng công việc tăng dần là một yếu tố cần xem xét. | - Yêu cầu hiểu biết về cấu trúc dữ liệu phức tạp: Việc áp dụng Tác tử thông minh và môi trường đòi hỏi sự hiểu biết về các cấu trúc dữ liệu phức tạp. | - Yêu cầu hiểu biết về thuật toán tối ưu: Việc áp dụng Tác tử thông minh và môi trường đòi hỏi sự hiểu biết về các thuật toán tối ưu. | - Tiếp cận đa chiều: Tác tử thông minh và môi trường yêu cầu một sự tiếp cận đa chiều từ lớp hạ tầng cơ sở đến lớp ứng dụng logic cấp cao.
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,Giao_Trinh_AI_Full_Length,Bloom 4 (Phân tích),B4,Chương 7,Chương 7 - Mục Chương 7: Đạo đức và An toàn AI,0.329,0.278,0.2261,Chương 7,0.2261,TRUE,0.1902,0.0013,256,36,18672,18672,4.03,2.5,"Phân tích các khía cạnh cần xem xét khi áp dụng Sự thiên kiến trong dữ liệu đào tạo, bao gồm cả những thách thức mà kỹ sư thường gặp phải trong bối cảnh thực tế.",- Kỹ thuật và hệ tư tưởng: Sự thiên kiến trong dữ liệu đào tạo không chỉ là một kỹ thuật mà còn là một hệ tư tưởng trong thiết kế hệ thống. | - Hiểu biết cần thiết: Việc áp dụng Sự thiên kiến trong dữ liệu đào tạo đòi hỏi sự hiểu biết về các cấu trúc dữ liệu phức tạp và các thuật toán tối ưu. | - Thách thức thực tế: Kỹ sư thường gặp phải những thách thức liên quan đến hiệu năng và tính bảo mật khi triển khai Sự thiên kiến trong dữ liệu đào tạo. | - Phân tích định tính: Đánh giá sự ảnh hưởng đến trải nghiệm người dùng cuối. | - Phân tích định lượng: Đo lường thông qua các chỉ số KPI kỹ thuật cụ thể. | - Khả năng mở rộng: Xem xét cách thức hệ thống phản ứng với khối lượng công việc tăng dần. | - Tiếp cận đa chiều: Sự thiên kiến trong dữ liệu đào tạo yêu cầu một sự tiếp cận đa chiều. | - Lớp hạ tầng cơ sở: Sự tiếp cận đa chiều bao gồm từ lớp hạ tầng cơ sở. | - Lớp ứng dụng logic cấp cao: Sự tiếp cận đa chiều bao gồm đến lớp ứng dụng logic cấp cao. | - Xây dựng câu hỏi tự luận: Nghiên cứu các mô hình liên quan đến Sự thiên kiến trong dữ liệu đào tạo giúp xây dựng các bộ câu hỏi tự luận có tính phân loại cao theo thang đo Bloom.
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,Giao_Trinh_AI_Full_Length,Bloom 4 (Phân tích),B4,Chương 8,Chương 8 - Mục Chương 8: Thực nghiệm và Đánh giá,0.5113,0.4501,0.3783,Chương 8,0.3783,TRUE,0.2524,0.0003,266,26,18765,18765,2.47,2.5,Phân tích các thách thức mà các kỹ sư thường gặp phải khi triển khai Phương pháp luận nghiên cứu AI trong bối cảnh thực tế?,"- Hiệu năng: Các kỹ sư thường gặp phải những thách thức liên quan đến hiệu năng khi triển khai Phương pháp luận nghiên cứu AI. | - Tính bảo mật: Các kỹ sư thường gặp phải những thách thức liên quan đến tính bảo mật khi triển khai Phương pháp luận nghiên cứu AI. | - Cấu trúc dữ liệu phức tạp: Việc áp dụng Phương pháp luận nghiên cứu AI đòi hỏi sự hiểu biết về các cấu trúc dữ liệu phức tạp. | - Thuật toán tối ưu: Việc áp dụng Phương pháp luận nghiên cứu AI đòi hỏi sự hiểu biết về các thuật toán tối ưu. | - Trải nghiệm người dùng cuối: Phân tích định tính đánh giá sự ảnh hưởng đến trải nghiệm người dùng cuối. | - Chỉ số KPI kỹ thuật: Phân tích định lượng đo lường thông qua các chỉ số KPI kỹ thuật cụ thể. | - Khối lượng công việc tăng dần: Khả năng mở rộng xem xét cách thức hệ thống phản ứng với khối lượng công việc tăng dần. | - Lớp hạ tầng cơ sở: Phương pháp luận nghiên cứu AI yêu cầu một sự tiếp cận đa chiều, từ lớp hạ tầng cơ sở. | - Lớp ứng dụng logic cấp cao: Phương pháp luận nghiên cứu AI yêu cầu một sự tiếp cận đa chiều, đến lớp ứng dụng logic cấp cao. | - Hệ tư tưởng trong thiết kế hệ thống: Phương pháp luận nghiên cứu AI không chỉ đơn thuần là một kỹ thuật mà còn là một hệ tư tưởng trong thiết kế hệ thống."
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,Giao_Trinh_AI_Full_Length,Bloom 5 (Đánh giá),B5,Chương 2,Chương 2 - Mục Chương 2: Machine Learning,0.2847,0.2329,0.1787,Chương 2,0.1787,TRUE,0.1764,0.004,274,37,18871,18871,2.34,3,"Đánh giá vai trò và các yêu cầu khi triển khai Supervised Learning và các thuật toán hồi quy trong ngành công nghệ thông tin hiện đại, dựa trên các khía cạnh phân tích được đề cập.","- Vai trò then chốt: Supervised Learning và các thuật toán hồi quy đóng vai trò then chốt trong sự phát triển của ngành công nghệ thông tin hiện đại. | - Hệ tư tưởng: Xét về mặt lý thuyết, chúng không chỉ đơn thuần là một kỹ thuật mà còn là một hệ tư tưởng trong thiết kế hệ thống. | - Yêu cầu hiểu biết: Việc áp dụng đòi hỏi sự hiểu biết về các cấu trúc dữ liệu phức tạp và các thuật toán tối ưu. | - Thách thức thực tế: Các kỹ sư thường gặp phải những thách thức liên quan đến hiệu năng và tính bảo mật khi triển khai. | - Phân tích định tính: Cần đánh giá sự ảnh hưởng đến trải nghiệm người dùng cuối. | - Phân tích định lượng: Cần đo lường thông qua các chỉ số KPI kỹ thuật cụ thể. | - Khả năng mở rộng: Cần xem xét cách thức hệ thống phản ứng với khối lượng công việc tăng dần. | - Tiếp cận đa chiều: Supervised Learning và các thuật toán hồi quy yêu cầu một sự tiếp cận đa chiều. | - Lớp hạ tầng cơ sở: Sự tiếp cận này bao gồm từ lớp hạ tầng cơ sở. | - Lớp ứng dụng logic cấp cao: Sự tiếp cận này bao gồm đến lớp ứng dụng logic cấp cao. | - Xây dựng câu hỏi: Việc nghiên cứu các mô hình liên quan giúp ích cho việc xây dựng các bộ câu hỏi tự luận. | - Tính phân loại cao: Các bộ câu hỏi tự luận này có tính phân loại cao theo thang đo Bloom."
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,Giao_Trinh_AI_Full_Length,Bloom 5 (Đánh giá),B5,Chương 2,Chương 2 - Mục Chương 2: Machine Learning,0.2176,0.1669,0.1201,Chương 1,0.1666,FALSE,0.1257,0.004,249,37,18871,18871,2.03,3,Đánh giá vai trò và các yêu cầu khi triển khai Supervised Learning và các thuật toán hồi quy trong ngành công nghệ thông tin hiện đại dựa trên các khía cạnh phân tích được đề cập.,"- Vai trò then chốt: Supervised Learning và các thuật toán hồi quy đóng vai trò then chốt trong sự phát triển của ngành công nghệ thông tin hiện đại. | - Hệ tư tưởng: Về mặt lý thuyết, chúng không chỉ đơn thuần là một kỹ thuật mà còn là một hệ tư tưởng trong thiết kế hệ thống. | - Yêu cầu hiểu biết: Việc áp dụng đòi hỏi sự hiểu biết về các cấu trúc dữ liệu phức tạp. | - Yêu cầu thuật toán: Việc áp dụng đòi hỏi sự hiểu biết về các thuật toán tối ưu. | - Thách thức hiệu năng: Các kỹ sư thường gặp phải những thách thức liên quan đến hiệu năng khi triển khai. | - Thách thức bảo mật: Các kỹ sư thường gặp phải những thách thức liên quan đến tính bảo mật khi triển khai. | - Phân tích định tính: Cần đánh giá sự ảnh hưởng đến trải nghiệm người dùng cuối. | - Phân tích định lượng: Cần đo lường thông qua các chỉ số KPI kỹ thuật cụ thể. | - Khả năng mở rộng: Cần xem xét cách thức hệ thống phản ứng với khối lượng công việc tăng dần. | - Tiếp cận đa chiều: Yêu cầu một sự tiếp cận đa chiều. | - Lớp hạ tầng cơ sở: Sự tiếp cận bao gồm từ lớp hạ tầng cơ sở. | - Lớp ứng dụng logic cấp cao: Sự tiếp cận bao gồm đến lớp ứng dụng logic cấp cao."
